ticker,price,day_%,week_%,rvol,rsi,compression_%,dist_20d_high_%,risk_to_5d_low_%,target_10%,target_20%,target_30%,score,signal,why
ARHS,7.83,10.75,8.9,1.38,66.8,13.81,0.0,12.13,8.61,9.4,10.18,21,🔴 PASS,"tradeable price, early weekly momentum, healthy RSI, above 20SMA, above 50SMA, near breakout, buying volume present, penalty: too late today"
ATYR,0.56,4.56,25.33,1.38,60.3,24.5,0.0,19.68,0.62,0.67,0.73,21,🔴 PASS,"not chasing today, healthy RSI, above 20SMA, near breakout, buying volume present, penalty: already running"
BTCZ,6.41,8.09,18.81,1.96,59.1,14.98,1.69,13.03,7.05,7.69,8.33,21,🔴 PASS,"tradeable price, healthy RSI, above 20SMA, above 50SMA, prior accumulation, coiled under breakout, buying volume present, penalty: too late today, penalty: already running"
GOSS,0.17,-1.17,0.6,0.74,41.3,9.15,26.84,2.96,0.19,0.2,0.22,20,🔴 PASS,"early weekly momentum, not chasing today, risk under 8%"
NWL,5.51,7.62,16.24,0.95,87.3,11.99,0.0,10.71,6.06,6.61,7.16,20,🔴 PASS,"tradeable price, above 20SMA, above 50SMA, prior accumulation, near breakout, penalty: RSI overheated"
HRTX,0.43,3.17,14.03,0.74,46.8,11.1,52.38,9.99,0.48,0.52,0.56,20,🔴 PASS,"early weekly momentum, not chasing today, healthy RSI"
AIRJ,4.96,-1.39,17.81,0.76,44.5,14.84,14.34,11.69,5.46,5.95,6.45,20,🔴 PASS,"tradeable price, not chasing today, above 20SMA, above 50SMA"
BFLY,7.77,1.3,37.52,1.03,70.7,55.87,12.7,26.51,8.55,9.32,10.1,20,🔴 PASS,"tradeable price, not chasing today, above 20SMA, above 50SMA, prior accumulation, penalty: already running"
WEN,7.86,25.56,16.1,11.08,65.1,27.39,0.0,21.5,8.65,9.43,10.22,19,🔴 PASS,"tradeable price, healthy RSI, above 20SMA, above 50SMA, prior accumulation, near breakout, penalty: too late today"
RUN,14.42,12.57,14.08,4.94,47.5,15.92,13.76,13.73,15.86,17.3,18.75,19,🔴 PASS,"tradeable price, early weekly momentum, healthy RSI, above 20SMA, above 50SMA, prior accumulation, penalty: too late today"
FATE,2.06,-4.63,8.42,0.86,42.5,10.2,27.46,4.85,2.27,2.47,2.68,19,🔴 PASS,"tradeable price, early weekly momentum, above 50SMA, risk under 8%"
IONZ,2.66,14.16,5.98,0.91,59.7,16.16,2.56,13.91,2.93,3.19,3.46,18,🔴 PASS,"tradeable price, early weekly momentum, healthy RSI, above 20SMA, coiled under breakout, penalty: too late today"
NTSK,9.5,-0.31,6.15,0.65,26.4,9.29,26.13,8.21,10.45,11.4,12.35,18,🔴 PASS,"tradeable price, early weekly momentum, not chasing today"
KVYO,14.06,4.23,1.59,1.09,30.6,9.33,23.42,8.53,15.47,16.87,18.28,18,🔴 PASS,"tradeable price, early weekly momentum, not chasing today"
BOLD,2.6,0.0,84.4,0.7,89.7,85.71,0.0,46.15,2.86,3.12,3.38,18,🔴 PASS,"tradeable price, not chasing today, above 20SMA, above 50SMA, prior accumulation, near breakout, penalty: already running, penalty: RSI overheated"
RGNX,9.97,0.2,43.87,1.08,78.4,27.82,0.0,21.77,10.97,11.96,12.96,18,🔴 PASS,"tradeable price, not chasing today, above 20SMA, above 50SMA, prior accumulation, near breakout, penalty: already running, penalty: RSI overheated"
AAL,17.44,8.05,11.01,1.72,80.6,13.1,0.0,11.58,19.18,20.93,22.67,17,🔴 PASS,"tradeable price, early weekly momentum, above 20SMA, above 50SMA, prior accumulation, near breakout, buying volume present, penalty: too late today, penalty: RSI overheated"
NUVB,6.46,6.95,26.17,1.81,77.0,21.2,0.0,17.49,7.11,7.75,8.4,16,🔴 PASS,"tradeable price, above 20SMA, above 50SMA, prior accumulation, near breakout, buying volume present, penalty: already running, penalty: RSI overheated"
ALKT,15.95,5.98,2.57,1.38,42.8,9.32,15.83,8.53,17.54,19.14,20.73,16,🔴 PASS,"tradeable price, early weekly momentum, buying volume present"
RLAY,18.02,3.33,19.73,1.07,68.2,15.81,0.0,13.65,19.82,21.62,23.43,16,🔴 PASS,"tradeable price, not chasing today, above 20SMA, above 50SMA, near breakout, penalty: already running"
AUR,6.23,-2.96,1.47,0.84,36.0,8.43,19.3,2.89,6.85,7.48,8.1,16,🔴 PASS,"tradeable price, early weekly momentum, risk under 8%"
MRVI,5.76,7.26,14.97,1.12,80.7,10.77,0.0,9.72,6.34,6.91,7.49,16,🔴 PASS,"tradeable price, early weekly momentum, above 20SMA, above 50SMA, near breakout, penalty: RSI overheated"
COMP,10.65,7.68,13.06,1.16,82.6,13.3,0.0,11.74,11.71,12.78,13.84,16,🔴 PASS,"tradeable price, early weekly momentum, above 20SMA, above 50SMA, near breakout, penalty: RSI overheated"
QTRX,3.78,17.39,23.53,1.33,54.5,31.25,0.53,23.81,4.16,4.54,4.91,15,🔴 PASS,"tradeable price, healthy RSI, above 20SMA, above 50SMA, prior accumulation, near breakout, buying volume present, penalty: too late today, penalty: already running"
MBC,9.34,11.72,5.42,0.63,59.7,11.72,0.0,10.49,10.27,11.21,12.14,15,🔴 PASS,"tradeable price, early weekly momentum, healthy RSI, above 20SMA, above 50SMA, near breakout, penalty: too late today"
APPS,10.14,9.5,7.87,0.6,63.5,17.77,0.78,15.09,11.15,12.17,13.18,15,🔴 PASS,"tradeable price, early weekly momentum, healthy RSI, above 20SMA, above 50SMA, near breakout, penalty: too late today"
SMCX,11.11,-5.2,17.94,0.82,24.4,57.43,67.75,23.67,12.22,13.33,14.44,14,🔴 PASS,"tradeable price, prior accumulation"
SKYQ,2.62,59.76,120.17,3.62,59.5,129.82,0.0,56.49,2.88,3.14,3.41,12,🔴 PASS,"tradeable price, healthy RSI, above 20SMA, prior accumulation, near breakout, buying volume present, penalty: too late today, penalty: already running"
EXFY,1.49,-4.49,18.25,0.62,68.1,36.67,9.15,19.46,1.64,1.79,1.94,12,🔴 PASS,"tradeable price, above 20SMA, above 50SMA, prior accumulation, penalty: already running"
AGNT,5.22,9.66,6.1,1.02,66.0,15.49,0.0,13.41,5.74,6.26,6.79,12,🔴 PASS,"tradeable price, early weekly momentum, healthy RSI, above 20SMA, near breakout, penalty: too late today"
OLMA,11.14,5.79,21.22,1.28,56.5,18.01,15.54,15.26,12.25,13.37,14.48,11,🔴 PASS,"tradeable price, healthy RSI, above 20SMA, buying volume present, penalty: already running"
BDTX,1.86,15.53,10.71,1.75,35.7,15.53,19.48,13.44,2.05,2.23,2.42,11,🔴 PASS,"tradeable price, early weekly momentum, prior accumulation, buying volume present, penalty: too late today"
BRBR,11.91,5.68,34.88,1.17,78.3,31.31,0.0,23.85,13.1,14.29,15.48,10,🔴 PASS,"tradeable price, above 20SMA, above 50SMA, prior accumulation, near breakout, penalty: already running, penalty: RSI overheated"
VTAK,1.19,29.35,21.43,10.9,62.8,41.67,0.0,29.41,1.31,1.43,1.55,9,🔴 PASS,"tradeable price, healthy RSI, above 20SMA, above 50SMA, prior accumulation, near breakout, penalty: too late today, penalty: already running"
NEO,12.9,12.47,22.97,2.0,72.7,24.28,0.0,19.53,14.19,15.48,16.77,9,🔴 PASS,"tradeable price, above 20SMA, above 50SMA, prior accumulation, near breakout, buying volume present, penalty: too late today, penalty: already running"
WKSP,1.03,22.62,74.58,2.39,73.4,72.24,0.0,41.94,1.13,1.24,1.34,9,🔴 PASS,"tradeable price, above 20SMA, above 50SMA, prior accumulation, near breakout, buying volume present, penalty: too late today, penalty: already running"
LILAK,6.55,11.39,23.77,1.36,68.9,36.74,0.0,26.87,7.21,7.86,8.52,9,🔴 PASS,"tradeable price, above 20SMA, above 50SMA, prior accumulation, near breakout, buying volume present, penalty: too late today, penalty: already running"
EDIT,2.8,1.45,18.64,1.09,50.7,9.8,21.57,8.93,3.08,3.36,3.64,8,🔴 PASS,"tradeable price, not chasing today, healthy RSI, penalty: already running"
ATLN,0.78,-41.35,48.31,2.09,39.3,202.27,47.99,43.6,0.86,0.94,1.01,6,🔴 PASS,"prior accumulation, buying volume present, penalty: already running"
QBTZ,4.29,16.26,3.13,0.8,53.4,22.49,11.0,13.99,4.72,5.15,5.58,6,🔴 PASS,"tradeable price, early weekly momentum, healthy RSI, above 20SMA, penalty: too late today"
NBIZ,7.99,12.06,2.17,0.92,43.1,21.43,48.95,17.65,8.79,9.59,10.39,5,🔴 PASS,"tradeable price, early weekly momentum, prior accumulation, penalty: too late today"
CRMT,3.57,-7.51,52.56,0.41,29.7,74.66,72.2,38.1,3.93,4.28,4.64,4,🔴 PASS,"tradeable price, prior accumulation, penalty: already running"
ABSI,10.07,35.96,43.93,5.18,71.9,40.32,0.0,28.73,11.08,12.09,13.1,3,🔴 PASS,"tradeable price, above 20SMA, above 50SMA, prior accumulation, near breakout, penalty: too late today, penalty: already running"
PACB,1.44,9.92,6.67,1.07,40.0,9.92,11.66,9.03,1.58,1.73,1.87,0,🔴 PASS,"tradeable price, early weekly momentum, above 20SMA, penalty: too late today"
MYGN,5.22,12.74,22.82,1.09,66.5,19.18,0.0,16.09,5.74,6.26,6.79,-1,🔴 PASS,"tradeable price, healthy RSI, above 20SMA, above 50SMA, near breakout, penalty: too late today, penalty: already running"
RKLZ,4.01,20.78,41.7,0.65,65.0,51.32,0.0,33.92,4.41,4.81,5.21,-4,🔴 PASS,"tradeable price, healthy RSI, above 20SMA, near breakout, penalty: too late today, penalty: already running"
DOMO,2.75,22.77,34.15,2.19,36.5,37.5,39.29,27.27,3.03,3.3,3.58,-5,🔴 PASS,"tradeable price, prior accumulation, buying volume present, penalty: too late today, penalty: already running"
MSTZ,14.53,18.61,62.35,1.01,70.2,47.21,0.0,32.07,15.98,17.44,18.89,-7,🔴 PASS,"tradeable price, above 20SMA, above 50SMA, near breakout, penalty: too late today, penalty: already running"
OPTU,1.61,19.26,24.81,1.43,75.7,40.0,0.0,28.57,1.77,1.93,2.09,-9,🔴 PASS,"tradeable price, above 20SMA, above 50SMA, near breakout, buying volume present, penalty: too late today, penalty: already running, penalty: RSI overheated"
