ticker,price,day_%,week_%,rvol,rsi,compression_%,dist_20d_high_%,risk_to_5d_low_%,target_10%,target_20%,target_30%,score,signal,why
UAA,6.06,4.84,3.77,1.39,64.7,6.32,0.0,5.94,6.67,7.27,7.88,56,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, above 50SMA, moderate compression, near breakout, risk under 8%, buying volume present"
GGLS,5.94,0.51,7.41,1.25,57.0,5.88,0.0,5.56,6.53,7.13,7.72,56,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, above 50SMA, moderate compression, near breakout, risk under 8%, buying volume present"
UA,5.88,4.81,3.89,1.25,64.5,6.33,0.0,5.95,6.47,7.06,7.64,56,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, above 50SMA, moderate compression, near breakout, risk under 8%, buying volume present"
RZLT,5.03,2.86,10.07,1.13,59.0,7.52,2.33,4.77,5.53,6.04,6.54,56,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, above 50SMA, moderate compression, coiled under breakout, risk under 8%"
MIR,18.21,-3.04,5.2,0.84,49.8,6.4,3.04,3.08,20.03,21.85,23.67,55,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, healthy RSI, above 20SMA, prior accumulation, moderate compression, coiled under breakout, risk under 8%"
SLDE,18.31,4.75,8.28,1.92,73.3,10.43,2.03,9.45,20.14,21.97,23.8,54,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, prior accumulation, coiled under breakout, buying volume present"
MFA,9.61,2.02,2.45,0.96,64.7,2.67,0.0,2.6,10.57,11.53,12.49,53,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, tight squeeze, near breakout, risk under 8%"
ATEC,8.7,2.35,3.08,2.27,70.6,6.92,1.25,5.29,9.57,10.44,11.31,53,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, above 20SMA, moderate compression, coiled under breakout, risk under 8%, buying volume present"
XRAY,10.52,3.14,0.67,0.85,64.5,4.89,0.0,4.66,11.57,12.62,13.68,53,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, tight squeeze, near breakout, risk under 8%"
REAX,1.77,1.14,2.91,1.1,68.2,3.51,2.75,3.39,1.95,2.12,2.3,53,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, above 20SMA, tight squeeze, coiled under breakout, risk under 8%"
FLO,7.65,1.32,0.66,0.92,58.7,6.14,2.05,4.18,8.42,9.18,9.95,53,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, moderate compression, coiled under breakout, risk under 8%"
UTZ,7.35,4.26,1.52,1.09,55.8,7.3,2.0,6.8,8.08,8.82,9.55,53,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, healthy RSI, above 20SMA, moderate compression, coiled under breakout, risk under 8%"
TRVI,17.52,0.81,13.77,1.23,82.3,8.19,1.07,6.56,19.27,21.02,22.78,52,🔥 BUY NEXT SESSION,"tradeable price, early weekly momentum, not chasing today, above 20SMA, above 50SMA, prior accumulation, coiled under breakout, risk under 8%, buying volume present, penalty: RSI overheated"
